title;research_area;country;issn;issn2
the egyptian journal of hospital medicine;medical sciences;egypt arab republic of egypt;1687-2002;2090-7125
the egyptian journal of hypertension and cardiovascular risk;medical sciences - cardiovascular diseases;egypt arab republic of egypt;1687-5338;NA
the egyptian journal of medical education;medical sciences;egypt arab republic of egypt;2090-2816;NA
the egyptian journal of medical sciences;medical sciences;egypt arab republic of egypt;1110-0540;NA
the egyptian journal of mental health;medical sciences - psychiatry and neurology psychology;egypt arab republic of egypt;1110-1075;NA
the egyptian journal of psychiatry;medical sciences - psychiatry and neurology;egypt arab republic of egypt;1110-1105;2090-2425
the egyptian journal of surgery;medical sciences - surgery;egypt arab republic of egypt;1110-1121;1687-7624
the egyptian orthopaedic journal;medical sciences - orthopedics and traumatology;egypt arab republic of egypt;1110-1148;2090-9926
the egyptian population and family planning review;birth control;egypt arab republic of egypt;1110-1156;NA
the egyptian rheumatologist;medical sciences - rheumatology;egypt arab republic of egypt;1110-1164;2090-2433
the egyptian statistical journal;mathematics statistics;egypt arab republic of egypt;0542-1748;NA
the ethiopian journal of business and economics;business and economics;ethiopia;2311-9772;2410-2393
the ethiopian journal of health development;public health and safety;ethiopia;1021-6790;NA
the ethiopian journal of higher education;education - higher education;ethiopia;2076-751X;NA
the ethiopian journal of reproductive health;medical sciences - obstetrics and gynecology;ethiopia;2520-0275;2520-0283
the ethiopian journal of science and sustainable development;engineering social sciences: comprehensive works;ethiopia;1998-0531;2663-3205
the ethiopian journal of science and technology;technology: comprehensive works;ethiopia;1816-3378;2312-6019
the european journal of economics finance and administrative sciences;business and economics;seychelles;1450-2275;NA
the european journal of social sciences;social sciences: comprehensive works;seychelles;1450-2267;NA
the gambia family planning association newsletter;birth control;gambia;0796-0174;NA
the hedu bulletin;education - higher education;botswana;1024-8110;NA
the information technologist;technology: comprehensive works;nigeria;1597-4316;NA
the international journal of development dialogue;humanities: comprehensive works sciences: comprehensive works social sciences: comprehensive works;kenya;2520-3479;NA
the international journal of informatics media and communication technology;library and information sciences computers - information science and information theory;egypt arab republic of egypt;2682-2105;2682-2881
the international journal of innovative bioscience research;biology;nigeria;2467-8457;NA
the international journal of innovative development and policy studies;political science;nigeria;2467-8465;NA
the international journal of innovative finance and economics research;business and economics - public finance taxation;nigeria;2467-8473;NA
the international journal of innovative food nutrition and sustainable agriculture;agriculture;nigeria;2467-8481;NA
the journal for transdisciplinary research in southern africa;sociology;south africa;1817-4434;2415-2005
the journal of anticorruption law;law;south africa;2521-5345;NA
the journal of consumer sciences;home economics consumer education and protection;south africa;null;NA
the journal of independent teaching and learning;education;south africa;1818-9687;2519-5670
the journal of legal medicine forensic sciences;medical sciences - forensic sciences;egypt arab republic of egypt;1110-6468;NA
the journal of medical laboratory science technology of south africa;medical sciences - experimental medicine laboratory technique;south africa;2664-2549;2664-2832
the journal of occupational safety and environmental health;occupational health and safety;nigeria;2476-8685;2476-8693
the journal of quality in education;education;morocco;2028-1897;NA
the judicial officer;law - judicial systems;south africa;1029-6026;NA
the leech;medical sciences;south africa;0377-9696;NA
the librarian and information manager;library and information sciences;nigeria;2504-8619;NA
the literary digest;literature;nigeria;null;NA
the magistrate;law;south africa;0024-9971;NA
the medical journal of ahmed maher teaching hospital;health facilities and administration medical sciences;egypt arab republic of egypt;1110-7820;NA
the medical journal of teaching hospitals institutes;health facilities and administration medical sciences;egypt arab republic of egypt;1110-2039;NA
the medical research institute journal;medical sciences;egypt arab republic of egypt;1110-0133;NA
the nigerian field;sciences: comprehensive works;nigeria;0029-0076;NA
the nigerian journal of parasitology;biology - microbiology medical sciences - communicable diseases;nigeria;1117-4145;NA
the nigerian postgraduate medical journal;medical sciences;nigeria;1117-1936;2468-6875
the nutrition institute of the arab republic of egypt bulletin;nutrition and dietetics;egypt arab republic of egypt;1110-0974;NA
the online journal on electronics and electrical engineering;engineering - electrical engineering;egypt arab republic of egypt;2090-0279;NA
the online journal on mathematics and statistics;mathematics statistics;egypt arab republic of egypt;2090-4509;NA
the operations research society of eastern africa journal;business and economics - marketing and purchasing business and economics - management;tanzania united republic of;1821-7567;2591-6947
the pan african medical journal conference proceedings;medical sciences;kenya;2521-8859;NA
the pharmaceutical journal of kenya;pharmacy and pharmacology;kenya;0378-228X;2411-6386
the quantum yearbook;business and economics - labor and industrial relations law;south africa;null;NA
the research journal of health sciences;public health and safety;nigeria;2467-8252;NA
the review of the faculty of commerce;business and economics - domestic commerce law;egypt arab republic of egypt;1110-1377;NA
the sa rural educator;education;south africa;2225-4544;NA
the savannah review;humanities: comprehensive works social sciences: comprehensive works;nigeria;2315-5523;2536-7846
the social work practitionerresearcher online;social services and welfare;south africa;2415-5829;NA
the south african criminal law reports;law - criminal law;south africa;1016-3107;1682-0770
